oak_x,oak_y,oak_z,ir_x,ir_y,oak_observed_at_s,thermal_observed_at_s,sensor_skew_s
0.679887592792511,0.24888762831687927,0.318,61.51578947368421,34.170175438596495,21713.760991387,21713.859891213,0.09889982599997893
0.6235288381576538,0.25966545939445496,0.312,62.630208333333336,34.263888888888886,21715.014521509,21715.113351127,0.09882961800030898
0.60880047082901,0.26265642046928406,0.24,63.51215277777778,36.171875,21716.949486265,21717.051187893,0.10170162800204707
0.5941655039787292,0.2642306983470917,0.248,62.20244328097731,36.45200698080279,21717.172847047,21717.278857094,0.10601004699856276
0.5591654181480408,0.11223451793193817,0.798,61.601063829787236,36.301418439716315,21717.406142382,21717.506449926,0.10030754400213482
0.5469982028007507,0.044766396284103394,0.303,60.86702127659574,36.00354609929078,21717.864621592,21717.96281209,0.09819049799989443
0.5416838526725769,0.38003888726234436,0.276,60.66140350877193,35.843859649122805,21718.205578359,21718.304300601,0.09872224200080382
0.5369373559951782,0.40959635376930237,0.283,61.576182136602455,36.38704028021016,21718.430088559,21718.53253893,0.10245037100321497
0.5107195377349854,0.09656946361064911,0.334,62.27622377622377,36.07692307692308,21720.141503845,21720.241859725,0.10035588000027929
0.5049624443054199,0.15047451853752136,0.325,57.60424028268551,40.25795053003534,21721.623335244,21721.724022428,0.10068718399998033
0.5445062518119812,0.17426760494709015,0.246,57.095486111111114,41.201388888888886,21727.433999656,21727.53606127,0.10206161399764824
0.5382972359657288,0.160264253616333,0.245,57.7112676056338,41.570422535211264,21727.66670124,21727.76340376,0.09670252000069013
0.5489937663078308,0.1457500457763672,0.244,57.50966608084359,41.59050966608084,21727.77568635,21727.877515107,0.10182875700047589
0.5319141745567322,0.08788265287876129,0.251,57.56944444444444,41.557291666666664,21728.006864826,21728.105506437,0.09864161100267665
0.5152464509010315,0.06891366839408875,0.289,57.80735551663748,41.57968476357268,21728.235116746,21728.333217397,0.09810065100100474
