oak_x,oak_y,oak_z,ir_x,ir_y
0.6283518075942993,0.5051162838935852,0.477,117.09740259740259,78.8896103896104
0.6618461608886719,0.5054829716682434,0.482,120.56451612903226,77.44193548387096
0.6818335056304932,0.49636176228523254,0.709,117.33116883116882,80.09740259740259
0.6774348020553589,0.674380362033844,0.513,113.84177215189874,80.38607594936708
0.6318713426589966,0.6775320768356323,0.5045,115.11538461538461,79.14102564102564
0.528102695941925,0.6813185214996338,0.494,114.95283018867924,79.12893081761007
0.4509367346763611,0.6629499793052673,0.49,112.98051948051948,80.14935064935065
0.1405845582485199,0.6505127549171448,0.502,106.15,82.775
0.15293046832084656,0.6278482675552368,0.504,107.79032258064517,81.01612903225806
0.23753489553928375,0.39169007539749146,0.499,101.77741935483871,80.61612903225806
0.40965232253074646,0.4496344029903412,0.521,107.45541401273886,77.82484076433121
0.4726269841194153,0.45071256160736084,0.6865000000000001,111.45483870967742,75.98387096774194
0.5105023980140686,0.441270649433136,0.544,112.19426751592357,78.78025477707007
0.5998374223709106,0.483639121055603,0.559,102.7125,79.4625
0.6203064918518066,0.48002997040748596,0.563,107.18831168831169,78.3961038961039
0.6275086998939514,0.574508786201477,0.586,107.90259740259741,81.13636363636364
0.6183711886405945,0.615423321723938,0.582,107.42903225806451,80.59032258064516
0.5980851650238037,0.7123019695281982,0.576,107.53896103896103,83.04545454545455
0.4093226492404938,0.7137253880500793,0.537,110.12337662337663,82.99350649350649
0.3167772889137268,0.7024139165878296,0.536,109.34415584415585,82.24025974025975
0.18020126223564148,0.6822248101234436,0.548,110.23248407643312,80.72929936305732
0.27040061354637146,0.24636858701705933,0.558,98.74539877300613,80.97852760736197
0.4465181231498718,0.3305860161781311,0.547,110.5379746835443,77.75316455696202
0.2098027616739273,0.5895581841468811,0.638,106.16666666666667,79.69753086419753
0.5357130765914917,0.6483137607574463,0.625,109.24025974025975,76.24025974025975
